/home/xchen/GANs/DCGAN-PyTorch/samples/1022_mnist_3kepochs_matsumoto

[(2300, 80.44272461106124),
 (2600, 83.95857352958058),
 (1700, 85.84565501351614),
 (2500, 88.21958188371636),
 (2100, 89.05015165391342),
 (2200, 92.26370593207497),
 (1900, 97.11577675298255),
 (2000, 101.07682719609994),
 (2700, 103.36112778778926),
 (2400, 106.78217846319774),
 (1400, 110.82161014658914),
 (1800, 120.6294778324783),
 (1500, 121.59521353232532),
 (900, 122.97138381358454),
 (1600, 126.32433732580759),
 (1200, 130.18400379286692),
 (1000, 132.23310816077668),
 (1300, 132.35567448901406),
 (1100, 147.33259466189583),
 (700, 150.75515546046563),
 (800, 156.65109268787614),
 (500, 165.17572291407856),
 (600, 168.53976186881752),
 (400, 203.45748292864585),
 (200, 219.25179993348505),
 (300, 241.32715550478454),
 (100, 328.7101165446089),
 (0, 380.57377826515585)]
